Дата,Средняя температура
2018-08-31,8.02
2018-08-31,9.06
2018-08-31,11.03
2018-08-31,12.03
2018-08-31,13.02
2018-08-31,12.05
2018-08-31,10.03
2018-08-31,10.08
2018-08-30,11.01
2018-08-30,17.01
2018-08-30,20.02
2018-08-30,19.03
2018-08-30,17.02
2018-08-30,11.07
2018-08-30,7.06
2018-08-30,9.02
2018-08-29,11.0
2018-08-29,13.05
2018-08-29,17.06
2018-08-29,17.03
2018-08-29,15.04
2018-08-29,12.08
2018-08-29,11.01
2018-08-29,11.09
2018-08-28,12.07
2018-08-28,14.08
2018-08-28,18.08
2018-08-28,17.04
2018-08-28,15.04
2018-08-28,12.09
2018-08-28,11.0
2018-08-28,9.09
2018-08-27,12.06
2018-08-27,15.04
2018-08-27,17.01
2018-08-27,14.08
2018-08-27,12.08
2018-08-27,10.05
2018-08-27,8.03
2018-08-27,8.07
2018-08-26,10.02
2018-08-26,11.04
2018-08-26,15.03
2018-08-26,15.0
2018-08-26,12.09
2018-08-26,11.02
2018-08-26,10.02
2018-08-26,9.06
2018-08-25,10.08
2018-08-25,10.05
2018-08-25,13.07
2018-08-25,11.07
2018-08-25,11.07
2018-08-25,10.05
2018-08-25,10.01
2018-08-25,11.06
2018-08-24,12.0
2018-08-24,13.07
2018-08-24,16.04
2018-08-24,24.02
2018-08-24,20.07
2018-08-24,18.06
2018-08-24,18.05
2018-08-24,18.01
2018-08-23,18.08
2018-08-23,24.06
2018-08-23,27.08
2018-08-23,26.09
2018-08-23,22.08
2018-08-23,16.0
2018-08-23,14.04
2018-08-23,14.09
2018-08-22,17.02
2018-08-22,18.06
2018-08-22,21.0
2018-08-22,20.08
2018-08-22,18.0
2018-08-22,12.03
2018-08-22,10.08
2018-08-22,13.03
2018-08-21,12.03
2018-08-21,11.08
2018-08-21,8.09
2018-08-21,8.05
2018-08-21,12.02
2018-08-21,10.02
2018-08-21,10.01
2018-08-21,11.04
2018-08-20,14.02
2018-08-20,15.02
2018-08-20,19.03
2018-08-20,19.09
2018-08-20,17.02
2018-08-20,16.04
2018-08-20,15.02
2018-08-20,14.08
2018-08-19,16.04
2018-08-19,21.04
2018-08-19,23.01
2018-08-19,22.04
2018-08-19,22.02
2018-08-19,14.09
2018-08-19,14.09
2018-08-19,19.01
2018-08-18,20.04
2018-08-18,24.05
2018-08-18,28.01
2018-08-18,27.05
2018-08-18,25.02
2018-08-18,19.03
2018-08-18,14.07
2018-08-18,16.09
2018-08-17,17.04
2018-08-17,20.04
2018-08-17,24.0
2018-08-17,23.05
2018-08-17,20.02
2018-08-17,16.06
2018-08-17,13.01
2018-08-17,13.02
2018-08-16,15.04
2018-08-16,18.06
